 Grid points 
  state        r                 ab initio             calc.           ab initio - calc        weight

XZh11                                                                           
     1       1.280440000        16914.770            16928.405           -13.634977        0.0000E+00
     1       1.281680000        17058.105            17070.187           -12.082388        0.0000E+00
     1       1.282920000        17201.667            17212.079           -10.411367        0.0000E+00
     1       1.284160000        17345.435            17354.076           -8.6410216        0.0000E+00
     1       1.285400000        17489.384            17496.175           -6.7907038        0.0000E+00
     1       1.286640000        17633.491            17638.371           -4.8795107        0.0000E+00
     1       1.287880000        17777.734            17780.661           -2.9268836        0.0000E+00
     1       1.289120000        17922.088            17923.040          -0.95200759        0.0000E+00
     1       1.290360000        18066.531            18065.505            1.0256891        0.0000E+00
     1       1.291600000        18211.039            18208.052            2.9867358        0.0000E+00
     1       1.292840000        18355.589            18350.678            4.9116198        0.0000E+00
     1       1.294080000        18500.159            18493.378            6.7809872        0.0000E+00
     1       1.295320000        18644.723            18636.148            8.5752435        0.0000E+00
     1       1.296560000        18789.260            18778.985            10.274754        0.0000E+00
     1       1.297800000        18933.746            18921.886            11.859844        0.0000E+00
     1       1.299040000        19078.158            19064.847            13.311200        0.0000E+00
     1       1.300280000        19222.487            19207.864            14.622971        0.0000E+00
     1       1.301520000        19366.749            19350.934            15.814868        0.0000E+00
     1       1.302760000        19510.962            19494.053            16.909164        0.0000E+00
     1       1.304000000        19655.146            19637.218            17.928096        0.0000E+00
     1       1.305240000        19799.319            19780.425            18.893864        0.0000E+00
     1       1.306480000        19943.501            19923.672            19.828634        0.0000E+00
     1       1.307720000        20087.709            20066.954            20.754537        0.0000E+00
     1       1.308960000        20231.963            20210.269            21.693768        0.0000E+00
     1       1.310200000        20376.281            20353.613            22.668190        0.0000E+00
     1       1.311440000        20520.683            20496.983            23.700031        0.0000E+00
     1       1.312680000        20665.187            20640.376            24.811088        0.0000E+00
     1       1.313920000        20809.812            20783.788            26.023524        0.0000E+00
     1       1.315160000        20954.576            20927.217            27.359173        0.0000E+00
     1       1.316400000        21099.499            21070.659            28.839935        0.0000E+00
     1       1.317640000        21244.595            21214.112            30.483082        0.0000E+00
     1       1.318880000        21389.847            21357.572            32.275753        0.0000E+00
     1       1.320120000        21535.229            21501.036            34.192959        0.0000E+00
     1       1.321360000        21680.711            21644.501            36.209783        0.0000E+00
     1       1.322600000        21826.266            21787.965            38.300977        0.0000E+00
     1       1.323840000        21971.865            21931.424            40.441468        0.0000E+00
     1       1.325080000        22117.482            22074.875            42.606251        0.0000E+00
     1       1.326320000        22263.087            22218.317            44.770098        0.0000E+00
     1       1.327560000        22408.653            22361.745            46.907852        0.0000E+00
     1       1.328800000        22554.151            22505.157            48.994230        0.0000E+00
     1       1.330040000        22699.554            22648.550            51.004125        0.0000E+00
     1       1.331280000        22844.834            22791.922            52.912102        0.0000E+00
     1       1.332520000        22989.962            22935.269            54.693102        0.0000E+00
     1       1.333760000        23134.911            23078.589            56.321643        0.0000E+00
     1       1.335000000        23279.655            23221.880            57.775418        0.0000E+00
     1       1.336240000        23424.198            23365.138            59.059895        0.0000E+00
     1       1.337480000        23568.557            23508.361            60.196220        0.0000E+00
     1       1.338720000        23712.751            23651.546            61.205216        0.0000E+00
     1       1.339960000        23856.799            23794.691            62.107985        0.0000E+00
     1       1.341200000        24000.719            23937.794            62.925505        0.0000E+00
     1       1.342440000        24144.529            24080.851            63.678832        0.0000E+00
     1       1.343680000        24288.248            24223.859            64.388902        0.0000E+00
     1       1.344920000        24431.895            24366.818            65.076730        0.0000E+00
     1       1.346160000        24575.486            24509.723            65.763010        0.0000E+00
     1       1.347400000        24719.042            24652.574            66.468916        0.0000E+00
     1       1.348640000        24862.581            24795.366            67.215102        0.0000E+00
     1       1.349880000        25006.120            24938.098            68.022602        0.0000E+00
     1       1.351120000        25149.679            25080.767            68.912231        0.0000E+00
     1       1.352360000        25293.273            25223.371            69.902485        0.0000E+00
     1       1.353600000        25436.896            25365.907            70.988641        0.0000E+00
     1       1.354840000        25580.526            25508.374            72.151860        0.0000E+00
     1       1.356080000        25724.142            25650.769            73.372982        0.0000E+00
     1       1.357320000        25867.721            25793.089            74.632930        0.0000E+00
     1       1.358560000        26011.244            25935.332            75.912611        0.0000E+00
     1       1.359800000        26154.689            26077.496            77.192913        0.0000E+00
